Comune di Cavaglio Spoccia;Piemonte;VB;Cavaglio-Spoccia;cavaglio.spoccia@cert.ruparpiemonte.it
Comune di Maropati;Calabria;RC;Maropati;protocollo.maropati@asmepec.it
Comune di Vallio Terme;Lombardia;BS;Vallio Terme;protocollo@pec.comune.vallioterme.bs.it
Comune di Caderzone Terme;Trentino Alto Adige;TN;Caderzone Terme;comune@pec.caderzone.net
Comune di Incisa Scapaccino;Piemonte;AT;Incisa Scapaccino;incisa.scapaccino@cert.ruparpiemonte.it
Comune di Val di Zoldo;Veneto;BL;Val di Zoldo;comune.valdizoldo.bl@pecveneto.it
Comune di Cellino Attanasio;Abruzzo;TE;Cellino Attanasio;postacert@pec.comunecellinoattanasio.gov.it
Comune di Monticelli Pavese;Lombardia;PV;Monticelli Pavese;finanziario.comune.monticelli@pec.regione.lombardia.it
Comune di Lozza;Lombardia;VA;Lozza;comune.lozza@pec.regione.lombardia.it
Comune di Cerveno;Lombardia;BS;Cerveno;protocollo@pec.comune.cerveno.bs.it
Comune di Castelbianco;Liguria;SV;Castelbianco;comune.castelbianco@legalmail.it
Comune di Braies;Trentino Alto Adige;BZ;Braies;prags.braies@legalmail.it
Comune di Abano Terme;Veneto;PD;Abano Terme;abanoterme.pd@cert.ip-veneto.net
Comune di Abbadia Cerreto;Lombardia;LO;Abbadia Cerreto;comune.abbadiacerreto@pec.regione.lombardia.it
Comune di Abbadia Lariana;Lombardia;LC;Abbadia Lariana;comune.abbadialariana@legalmail.it
Comune di Abbadia San Salvatore;Toscana;SI;Abbadia San Salvatore;comune.abbadia@postacert.toscana.it
Comune di Abbasanta;Sardegna;OR;Abbasanta;protocollo@pec.comune.abbasanta.or.it
Comune di Abbateggio;Abruzzo;PE;Abbateggio;abbateggio@pec.pescarainnova.it
Comune di Abbiategrasso;Lombardia;MI;Abbiategrasso;comune.abbiategrasso@legalpec.it
Comune di Abriola;Basilicata;PZ;Abriola;comune.abriola@cert.ruparbasilicata.it
Comune di Acate;Sicilia;RG;Acate;protocollo@pec.comune.acate.rg.it
Comune di Accadia;Puglia;FG;Accadia;ragioneria@pec.comune.accadia.fg.it
Comune di Acceglio;Piemonte;CN;Acceglio;comuneacceglio@pcert.postecert.it
Comune di Accettura;Basilicata;MT;Accettura;comune.accettura@cert.ruparbasilicata.it
Comune di Acciano;Abruzzo;AQ;Acciano;accianoaq@pec.it
Comune di Accumoli;Lazio;RI;Accumoli;comuneaccumoli.fatture@pec.it
Comune di Acerenza;Basilicata;PZ;Acerenza;protocollo@pec.comune.acerenza.pz.it
Comune di Acerno;Campania;SA;Acerno;protocollo@pec.comune.acerno.sa.it
Comune di Acerra;Campania;NA;Acerra;protocollo@pec.comuneacerra.it
Comune di Aci Bonaccorsi;Sicilia;CT;Aci Bonaccorsi;protocollo@pec.comune.acibonaccorsi.ct.it
Comune di Aci Castello;Sicilia;CT;Aci Castello;protocollo@pec.comune.acicastello.ct.it
Comune di Aci Catena;Sicilia;CT;Aci Catena;comune.acicatena@pec.it
Comune di Acireale;Sicilia;CT;Acireale;protocollo@pec.comune.acireale.ct.it
Comune di Aci Sant'Antonio;Sicilia;CT;Aci Sant'Antonio;comune-acisantantonio@legalmail.it
Comune di Acquafondata;Lazio;FR;Acquafondata;comuneacquafondata@cert-posta.it
Comune di Acquaformosa;Calabria;CS;Acquaformosa;tecnico.acquaformosa@asmepec.it
Comune di Acquafredda;Lombardia;BS;Acquafredda;protocollo@pec.comune.acquafredda.bs.it
Comune di Acqualagna;Marche;PU;Acqualagna;comune.acqualagna@emarche.it
Comune di Acquanegra sul Chiese;Lombardia;MN;Acquanegra sul Chiese;acquanegrasulchiese.mn@legalmail.it
Comune di Acquapendente;Lazio;VT;Acquapendente;comuneacquapendente@legalmail.it
Comune di Acquappesa;Calabria;CS;Acquappesa;protocollo.acquappesa@asmepec.it
Comune di Acquarica del Capo;Puglia;LE;Acquarica del Capo;urp.comune.acquaricadelcapo.le.it@pec.rupar.puglia.it
Comune di Acquaro;Calabria;VV;Acquaro;utclavoripubblici.acquaro@asmepec.it
Comune di Acquasanta Terme;Marche;AP;Acquasanta Terme;comune.acquasantaterme@anutel.it
Comune di Acquasparta;Umbria;TR;Acquasparta;comune.acquasparta@postacert.umbria.it
Comune di Acquaviva Picena;Marche;AP;Acquaviva Picena;protocollo@pec.comuneacquavivapicena.it
Comune di Acquaviva delle Fonti;Puglia;BA;Acquaviva delle Fonti;protocollo.comuneacquaviva@pec.it
Comune di Acquaviva Platani;Sicilia;CL;Acquaviva Platani;protocollo.acquavivaplatani@legalmail.it
Comune di Acquaviva Collecroce;Molise;CB;Acquaviva Collecroce;comune.acquavivacollecrocecb@legalmail.it
Comune di Acquaviva d'Isernia;Molise;IS;Acquaviva d'Isernia;comuneacquavivadisernia@pec.it
Comune di Acqui Terme;Piemonte;AL;Acqui Terme;acqui.terme@cert.ruparpiemonte.it
Comune di Acri;Calabria;CS;Acri;protocollo.acri@pec.it
Comune di Acuto;Lazio;FR;Acuto;info@pec.comune.acuto.fr.it
Comune di Adelfia;Puglia;BA;Adelfia;segretariogenerale.adelfia@pec.rupar.puglia.it
Comune di Adrano;Sicilia;CT;Adrano;protocollo@pec.comune.adrano.ct.it
Comune di Adrara San Martino;Lombardia;BG;Adrara San Martino;protocollo.comune.adrarasanmartino@pec.regione.lombardia.it
Comune di Adrara San Rocco;Lombardia;BG;Adrara San Rocco;comune.adrarasanrocco.bg@pec.it
Comune di Adria;Veneto;RO;Adria;protocollo.comune.adria.ro@pecveneto.it
Comune di Adro;Lombardia;BS;Adro;comunediadro@cert.legalmail.it
Comune di Affi;Veneto;VR;Affi;protocollo@pec.comune.affi.vr.it
Comune di Affile;Lazio;RM;Affile;ragioneria@pec.comune.affile.rm.it
Comune di Afragola;Campania;NA;Afragola;protocollo@pec.comune.afragola.na.it
Comune di Africo;Calabria;RC;Africo;protocollo.africo@asmepec.it
Comune di Agazzano;Emilia Romagna;PC;Agazzano;comune.agazzano@legalmail.it
Comune di Agerola;Campania;NA;Agerola;protocollo.agerola@asmepec.it
Comune di Aggius;Sardegna;OT;Aggius;protocollo@pec.comuneaggius.gov.it
Comune di Agira;Sicilia;EN;Agira;Protocollo_comune_agira@legalmail.it
Comune di Agliana;Toscana;PT;Agliana;comune.agliana.pt@legalmail.it
Comune di Agliano Terme;Piemonte;AT;Agliano Terme;comune.aglianoterme.at@cert.legalmail.it
Comune di Aglie';Piemonte;TO;Aglie';aglie@cert.ruparpiemonte.it
Comune di Agna;Veneto;PD;Agna;agna.pd@cert.ip-veneto.net
Comune di Agnadello;Lombardia;CR;Agnadello;anagrafe.comune.agnadello@pec.regione.lombardia.it
Comune di Agnana Calabra;Calabria;RC;Agnana Calabra;sindaco.agnana@asmepec.it
Comune di Agnone;Molise;IS;Agnone;comune.agnone@legalmail.it
Comune di Agnosine;Lombardia;BS;Agnosine;protocollo@pec.comune.agnosine.bs.it
Comune di Agordo;Veneto;BL;Agordo;comune.agordo.bl@pecveneto.it
Comune di Agosta;Lazio;RM;Agosta;ragioneriaagosta@pec.it
Comune di Agra;Lombardia;VA;Agra;comuneagra@legalmail.it
Comune di Agrate Brianza;Lombardia;MB;Agrate Brianza;comune.agratebrianza@pec.regione.lombardia.it
Comune di Agrigento;Sicilia;AG;Agrigento;servizio.protocollo@pec.comune.agrigento.it
Comune di Agropoli;Campania;SA;Agropoli;protocollo@pec.comune.agropoli.sa.it
Comune di Agugliaro;Veneto;VI;Agugliaro;segreteria@pec.comune.agugliaro.vi.it
Comune di Ayas;Valle D'Aosta;AO;Ayas;protocollo@pec.comune.ayas.ao.it
Comune di Aicurzio;Lombardia;MB;Aicurzio;comune.aicurzio@pec.regione.lombardia.it
Comune di Aidone;Sicilia;EN;Aidone;area.finanziaria@pec.aidoneonline.it
Comune di Aielli;Abruzzo;AQ;Aielli;comunediaielli@pec.it
Comune di Aiello del Sabato;Campania;AV;Aiello del Sabato;amministrativo.aiello@asmepec.it
Comune di Aiello Calabro;Calabria;CS;Aiello Calabro;sindaco@pec.comune.aiellocalabro.cs.it
Comune di Aiello del Friuli;Friuli Venezia Giulia;UD;Aiello del Friuli;comune.aiellodelfriuli@certgov.fvg.it
Comune di Aieta;Calabria;CS;Aieta;finanziario.aieta@asmepec.it
Comune di Ailano;Campania;CE;Ailano;protocollo@pec.comune.ailano.ce.it
Comune di Ailoche;Piemonte;BI;Ailoche;ailoche@pec.ptbiellese.it
Comune di Aymavilles;Valle D'Aosta;AO;Aymavilles;protocollo@pec.comune.aymavilles.ao.it
Comune di Airasca;Piemonte;TO;Airasca;airasca@postemailcertificata.it
Comune di Airola;Campania;BN;Airola;airola@pec.cstsannio.it
Comune di Airole;Liguria;IM;Airole;comune.airole.im@legalmail.it
Comune di Airuno;Lombardia;LC;Airuno;airuno@cert.legalmail.it
Comune di Aisone;Piemonte;CN;Aisone;aisone@cert.ruparpiemonte.it
Comune di Ala;Trentino Alto Adige;TN;Ala;comuneala.tn@legalmail.it
Comune di Ala di Stura;Piemonte;TO;Ala di Stura;comunealadistura@pec.it
Comune di Alagna;Lombardia;PV;Alagna;info@pec.comune.alagna.pv.it
Comune di Alagna Valsesia;Piemonte;VC;Alagna Valsesia;alagnavalsesia@cert.ruparpiemonte.it
Comune di Alanno;Abruzzo;PE;Alanno;comune.alanno@pec.it
Comune di Alano di Piave;Veneto;BL;Alano di Piave;anagrafe.comune.alanodipiave.bl@pecveneto.it
Comune di Alassio;Liguria;SV;Alassio;comune.alassio@legalmail.it
Comune di Alatri;Lazio;FR;Alatri;protocollo.comunealatri@pec.it
Comune di Alba;Piemonte;CN;Alba;comune.alba@cert.legalmail.it
Comune di Alba Adriatica;Abruzzo;TE;Alba Adriatica;info@comune.alba-adriatica.gov.it
Comune di Albagiara;Sardegna;OR;Albagiara;amministrativo@pec.comune.albagiara.or.it
Comune di Albairate;Lombardia;MI;Albairate;comune.albairate.mi@pec.it
Comune di Albanella;Campania;SA;Albanella;protocollo@pec.comune.albanella.sa.it
Comune di Albano Sant'Alessandro;Lombardia;BG;Albano Sant'Alessandro;postacert@pec.comune.albano.bg.it
Comune di Albano Vercellese;Piemonte;VC;Albano Vercellese;albano.vercellese@cert.ruparpiemonte.it
Comune di Albano di Lucania;Basilicata;PZ;Albano di Lucania;comune.albanodilucania@cert.ruparbasilicata.it
Comune di Albano Laziale;Lazio;RM;Albano Laziale;protocollo@cert.comune.albanolaziale.rm.it
Comune di Albaredo Arnaboldi;Lombardia;PV;Albaredo Arnaboldi;comune.albaredoarnaboldi@pec.regione.lombardia.it
Comune di Albaredo per San Marco;Lombardia;SO;Albaredo per San Marco;protocollo.albaredo@cert.provincia.so.it
Comune di Albaredo D'Adige;Veneto;VR;Albaredo d'Adige;protocollo.albaredodadige@pec.it
Comune di Albareto;Emilia Romagna;PR;Albareto;protocollo@postacert.comune.albareto.pr.it
Comune di Albaretto della Torre;Piemonte;CN;Albaretto della Torre;comune.albarettotorre.cn@cert.legalmail.it
Comune di Albavilla;Lombardia;CO;Albavilla;comune.albavilla@pec.provincia.como.it
Comune di Albenga;Liguria;SV;Albenga;protocollo@pec.comune.albenga.sv.it
Comune di Albera Ligure;Piemonte;AL;Albera Ligure;albera.ligure@cert.ruparpiemonte.it
Comune di Alberobello;Puglia;BA;Alberobello;protocollo@mailcert.comune.alberobello.ba.it
Comune di Alberona;Puglia;FG;Alberona;protocollo@pec.dauniavalley.it
Comune di Albese con Cassano;Lombardia;CO;Albese con Cassano;comune.albeseconcassano.co@halleycert.it
Comune di Albettone;Veneto;VI;Albettone;albettone.vi@cert.ip-veneto.net
Comune di Albi;Calabria;CZ;Albi;ufficioamministrativoalbi@asmepec.it
Comune di Albiano d'Ivrea;Piemonte;TO;Albiano d'Ivrea;albiano.divrea@cert.ruparpiemonte.it
Comune di Albiano;Trentino Alto Adige;TN;Albiano;certificata@pec.comune.albiano.tn.it
Comune di Albiate;Lombardia;MB;Albiate;comune.albiate@legalmail.it
Comune di Albidona;Calabria;CS;Albidona;comune.albidona.cs@legalmail.it
Comune di Albignasego;Veneto;PD;Albignasego;albignasego.pd@cert.ip-veneto.net
Comune di Albinea;Emilia Romagna;RE;Albinea;albinea@cert.provincia.re.it
Comune di Albino;Lombardia;BG;Albino;protocollo.albino@cert.saga.it
Comune di Albiolo;Lombardia;CO;Albiolo;comune.albiolo@pec.regione.lombardia.it
Comune di Albissola Marina;Liguria;SV;Albissola Marina;comunealbissolamarina@legalmail.it
Comune di Albonese;Lombardia;PV;Albonese;comune.albonese@legalmail.it
Comune di Albosaggia;Lombardia;SO;Albosaggia;protocollo.albosaggia@cert.provincia.so.it
Comune di Albugnano;Piemonte;AT;Albugnano;albugnano@cert.ruparpiemonte.it
Comune di Albuzzano;Lombardia;PV;Albuzzano;comune.albuzzano@pec.regione.lombardia.it
Comune di Alcamo;Sicilia;TP;Alcamo;comunedialcamo.protocollo@pec.it
Comune di Aldeno;Trentino Alto Adige;TN;Aldeno;aldeno@postemailcertificata.it
Comune di Aldino;Trentino Alto Adige;BZ;Aldino;aldein.aldino@legalmail.it
Comune di Ales;Sardegna;OR;Ales;protocollo.ales@legalmail.it
Comune di Alessandria della Rocca;Sicilia;AG;Alessandria della Rocca;servizifinanziari.pec@comunealessandriadellarocca.it
Comune di Alessandria della Rocca;Sicilia;AG;Alessandria della Rocca;protocollo.pec@comunealessandriadellarocca.it
Comune di Alessandria;Piemonte;AL;Alessandria;comunedialessandria@legalmail.it
Comune di Alessandria del Carretto;Calabria;CS;Alessandria del Carretto;alessandriadelcarretto@legalmail.it
Comune di Alessano;Puglia;LE;Alessano;comune.alessano.le@pec.rupar.puglia.it
Comune di Alezio;Puglia;LE;Alezio;protocollo.comune.alezio@pec.rupar.puglia.it
Comune di Alfano;Campania;SA;Alfano;affarigenerali.alfano@asmepec.it
Comune di Alfedena;Abruzzo;AQ;Alfedena;comune@pec.comune.alfedena.aq.it
Comune di Alfianello;Lombardia;BS;Alfianello;protocollo@pec.comune.alfianello.bs.it
Comune di Alfiano Natta;Piemonte;AL;Alfiano Natta;alfianonatta@pec.comune.alfianonatta.al.it
Comune di Alfonsine;Emilia Romagna;RA;Alfonsine;pg.comune.alfonsine.ra.it@legalmail.it
Comune di Alghero;Sardegna;SS;Alghero;protocollo@pec.comune.alghero.ss.it
Comune di Algua;Lombardia;BG;Algua;comune.algua@pec.regione.lombardia.it
Comune di Ali';Sicilia;ME;Ali';protocollo@pec.comune.ali.me.it
Comune di Alia;Sicilia;PA;Alia;protocolloalia@pec.it
Comune di Aliano;Basilicata;MT;Aliano;protocolloaliano@pec.it
Comune di Alice Bel Colle;Piemonte;AL;Alice Bel Colle;comune.alicebelcolle.al@pec.it
Comune di Alice Castello;Piemonte;VC;Alice Castello;alice.castello@legalmail.it
Comune di Alice Superiore;Piemonte;TO;Alice Superiore;comune.alice@actaliscertymail.it
Comune di Alife;Campania;CE;Alife;protocollo@pec.comune.alife.ce.it
Comune di Ali' Terme;Sicilia;ME;Ali' Terme;affarigenerali.comunealiterme@dgpec.it
Comune di Alimena;Sicilia;PA;Alimena;protocollo.comunealimena@sicurezzapostale.it
Comune di Aliminusa;Sicilia;PA;Aliminusa;comunedialiminusa@pec.it
Comune di Allai;Sardegna;OR;Allai;protocollo@pec.comuneallai.gov.it
Comune di Allein;Valle D'Aosta;AO;Allein;protocollo@pec.comune.allein.ao.it
Comune di Alleghe;Veneto;BL;Alleghe;serv.amm.comune.alleghe.bl@pecveneto.it
Comune di Allerona;Umbria;TR;Allerona;comune.allerona@postacert.umbria.it
Comune di Alliste;Puglia;LE;Alliste;affarigenerali.comune.alliste@pec.rupar.puglia.it
Comune di Allumiere;Lazio;RM;Allumiere;comuneallumiere@pec.it
Comune di Alme';Lombardia;BG;Alme';comune.alme@postemailcertificata.it
Comune di Villa D'Alme';Lombardia;BG;Villa d'Alme';protocollo@pec.comune.villadalme.bg.it
Comune di Almenno San Bartolomeo;Lombardia;BG;Almenno San Bartolomeo;comune@pec.comune.almennosanbartolomeo.bergamo.it
Comune di Almenno San Salvatore;Lombardia;BG;Almenno San Salvatore;comunealmennoss@pec.it
Comune di Almese;Piemonte;TO;Almese;comune.almese.to@cert.legalmail.it
Comune di Alonte;Veneto;VI;Alonte;protocollo.comune.alonte.vi@pecveneto.it
Comune di Alpette;Piemonte;TO;Alpette;comune.alpette.to@legalmail.it
Comune di Alpignano;Piemonte;TO;Alpignano;protocollo.alpignano@legalmail.it
Comune di Alseno;Emilia Romagna;PC;Alseno;comune.alseno@sintranet.legalmail.it
Comune di Alserio;Lombardia;CO;Alserio;comune.alserio@halleypec.it
Comune di Altamura;Puglia;BA;Altamura;protocollo.generale@pec.comune.altamura.ba.it
Comune di Altare;Liguria;SV;Altare;COMUNE.ALTARE.SV@LEGALMAIL.IT
Comune di Altavilla Monferrato;Piemonte;AL;Altavilla Monferrato;altavilla@pec.comune.altavillamonferrato.al.it
Comune di Altavilla Irpina;Campania;AV;Altavilla Irpina;comune.altavillairpina.av@pec.it
Comune di Altavilla Milicia;Sicilia;PA;Altavilla Milicia;info@pec.altavillamilicia.eu
Comune di Altavilla Silentina;Campania;SA;Altavilla Silentina;protocollo.altavillasilentina@asmepec.it
Comune di Altavilla Vicentina;Veneto;VI;Altavilla Vicentina;altavillavicentina.vi@cert.ip-veneto.net
Comune di Altidona;Marche;FM;Altidona;sindaco@pec.altidona.net
Comune di Altilia;Calabria;CS;Altilia;comunedialtilia@pec.netps.eu
Comune di Altino;Abruzzo;CH;Altino;protocollo@pec.comune.altino.ch.it
Comune di Altissimo;Veneto;VI;Altissimo;protocollo.comune.altissimo.vi@pecveneto.it
Comune di Altivole;Veneto;TV;Altivole;comunealtivole@legalmail.it
Comune di Alto;Piemonte;CN;Alto;alto@cert.ruparpiemonte.it
Comune di Altofonte;Sicilia;PA;Altofonte;comune.altofonte@gigapec.it
Comune di Altomonte;Calabria;CS;Altomonte;comune.altomonte@anutel.it
Comune di Altopascio;Toscana;LU;Altopascio;comune.altopascio@postacert.toscana.it
Comune di Alviano;Umbria;TR;Alviano;comune.alviano@postacert.umbria.it
Comune di Alvignano;Campania;CE;Alvignano;suap.alvignano@legalmail.it
Comune di Alvito;Lazio;FR;Alvito;comunealvito@arcmediapec.it
Comune di Alzano Scrivia;Piemonte;AL;Alzano Scrivia;alzanoscrivia@pec.it
Comune di Alzano Lombardo;Lombardia;BG;Alzano Lombardo;protocollo@pec.comune.alzano.bg.it
Comune di Alzano Lombardo;Lombardia;BG;Alzano Lombardo;protocollofatture@pec.comune.alzano.bg.it
Comune di Alzate Brianza;Lombardia;CO;Alzate Brianza;comunealzate@legalmail.it
Comune di Alzate Brianza;Lombardia;CO;Alzate Brianza;suapalzate@pec.como.it
Comune di Amalfi;Campania;SA;Amalfi;amalfi@asmepec.it
Comune di Amandola;Marche;FM;Amandola;comune.amandola@emarche.it
Comune di Amandola;Marche;FM;Amandola;comune.amandola.suap@emarche.it
Comune di Amandola;Marche;FM;Amandola;comune.amandola.protocollo@emarche.it
Comune di Amandola;Marche;FM;Amandola;comune.amandola.anagrafe@emarche.it
Comune di Amandola;Marche;FM;Amandola;comune.amandola.ufficiotecnico@emarche.it
Comune di Amantea;Calabria;CS;Amantea;protocollo@pec.comune.amantea.cs.it
Comune di Amaro;Friuli Venezia Giulia;UD;Amaro;comune.amaro@certgov.fvg.it
Comune di Amaroni;Calabria;CZ;Amaroni;PROTOCOLLO@PEC.COMUNEDIAMARONI.IT
Comune di Amaseno;Lazio;FR;Amaseno;comune.amaseno@pec-cap.it
Comune di Amato;Calabria;CZ;Amato;protocollo.amato@asmepec.it
Comune di Amatrice;Lazio;RI;Amatrice;fatture@pec.comune.amatrice.rieti.it
Comune di Amatrice;Lazio;RI;Amatrice;protocollo@pec.comune.amatrice.rieti.it
Comune di Ambivere;Lombardia;BG;Ambivere;comune.ambivere@pec.regione.lombardia.it
Comune di Ameglia;Liguria;SP;Ameglia;protocollo@pec.comune.ameglia.sp.it
Comune di Ameglia;Liguria;SP;Ameglia;anagrafe@pec.comune.ameglia.sp.it
Comune di Amelia;Umbria;TR;Amelia;comune.amelia@postacert.umbria.it
Comune di Amendolara;Calabria;CS;Amendolara;statocivile.amendolara.cs@legalmail.it
Comune di Amendolara;Calabria;CS;Amendolara;comuneamendolarasegr@pcert.postecert.it
Comune di Amendolara;Calabria;CS;Amendolara;comuneamendolaratecn@pcert.postecert.it
Comune di Ameno;Piemonte;NO;Ameno;ameno@pec.it
Comune di Amorosi;Campania;BN;Amorosi;sindaco@pec.comune.amorosi.bn.it
Comune di Amorosi;Campania;BN;Amorosi;anagrafe@pec.comune.amorosi.bn.it
Comune di Amorosi;Campania;BN;Amorosi;utc@pec.comune.amorosi.bn.it
Comune di Cortina D' Ampezzo;Veneto;BL;Cortina d'Ampezzo;cortina@pec.comunecortinadampezzo.it
Comune di Ampezzo;Friuli Venezia Giulia;UD;Ampezzo;comune.ampezzo@certgov.fvg.it
Comune di Anacapri;Campania;NA;Anacapri;protocollo.comunedianacapri@pec.it
Comune di Anacapri;Campania;NA;Anacapri;demografico.comunedianacapri@pec.it
Comune di Anacapri;Campania;NA;Anacapri;fatture.comunedianacapri@pec.it
Comune di Anacapri;Campania;NA;Anacapri;poliziamunicipale.comunedianacapri@pec.it
Comune di Anacapri;Campania;NA;Anacapri;utc.comunedianacapri@pec.it
Comune di Anagni;Lazio;FR;Anagni;comune.anagni@postecert.it
Comune di Ancarano;Abruzzo;TE;Ancarano;comune.ancarano.te@pec.it
Comune di Ancona;Marche;AN;Ancona;comune.ancona@emarche.it
Comune di Ancona;Marche;AN;Ancona;servizidemografici@pec.comune.ancona.gov.it
Comune di Ancona;Marche;AN;Ancona;suap.comune.ancona@emarche.it
Comune di Ancona;Marche;AN;Ancona;museoomero@legalmail.it
Comune di Ancona;Marche;AN;Ancona;edilizia.comune.ancona@emarche.it
Comune di Andali;Calabria;CZ;Andali;protocollo@pec.comunediandali.it
Comune di Andalo Valtellino;Lombardia;SO;Andalo Valtellino;protocollo.andalo@cert.provincia.so.it
Comune di Andalo;Trentino Alto Adige;TN;Andalo;segreteria@pec.comune.andalo.tn.it
Comune di Andezeno;Piemonte;TO;Andezeno;comune.andezeno.to@legalmail.it
Comune di Andora;Liguria;SV;Andora;protocollo@cert.comunediandora.it
Comune di Andorno Micca;Piemonte;BI;Andorno Micca;andorno.micca@pec.ptbiellese.it
Comune di Andrano;Puglia;LE;Andrano;protocollo.comune.andrano@pec.rupar.puglia.it
Comune di Andrate;Piemonte;TO;Andrate;andrate@cert.ruparpiemonte.it
Comune di Andreis;Friuli Venezia Giulia;PN;Andreis;comune.andreis@certgov.fvg.it
Comune di Andretta;Campania;AV;Andretta;comune.andretta@asmepec.it
Comune di Andretta;Campania;AV;Andretta;ragioneria.andretta@asmepec.it
Comune di Andria;Puglia;BT;Andria;protocollo@cert.comune.andria.bt.it
Comune di Andriano;Trentino Alto Adige;BZ;Andriano;andrian.andriano@legalmail.it
Comune di Anela;Sardegna;SS;Anela;protocolloanela@legpec.it
Comune di Anfo;Lombardia;BS;Anfo;protocollo@pec.comune.anfo.bs.it
Comune di Angera;Lombardia;VA;Angera;comune.angera@pec.regione.lombardia.it
Comune di Angera;Lombardia;VA;Angera;pec.ragioneria.angera@legalmail.it
Comune di Angera;Lombardia;VA;Angera;pec.anagrafe.angera@legalmail.it
Comune di Anghiari;Toscana;AR;Anghiari;comune.anghiari.ar@postacert.toscana.it
Comune di Angiari;Veneto;VR;Angiari;protocollo.angiari@legalmail.it
Comune di Angolo Terme;Lombardia;BS;Angolo Terme;protocollo@pec.comune.angolo-terme.bs.it
Comune di Angri;Campania;SA;Angri;comune.angri@legalmail.it
Comune di Angrogna;Piemonte;TO;Angrogna;angrogna@cert.ruparpiemonte.it
